# T_des(K), Diffusion-Coeff
8.286154309206150703e-01 4.909103979539367751e-02
8.680958842600723369e-01 4.884860137378487649e-02
8.979071039062448412e-01 5.144896662809356896e-02
9.345953392155558204e-01 5.464444562558495172e-02
9.745764635816545063e-01 6.334297172842461021e-02
1.018160315139810645e+00 7.052237905896305281e-02
1.028799993878292796e+00 6.149598339193441260e-02
1.057088104885795854e+00 5.544616766135951336e-02
1.092243544763088492e+00 7.054611152346278169e-02
1.135281119000328465e+00 6.475544361111428004e-02
1.185892874811339093e+00 8.415799612894442339e-02
