ITEM: TIMESTEP
1
ITEM: NUMBER OF ATOMS
1372
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
ITEM: ATOMS id vx vy vz 
1 0.924466 0.340603 -1.69999 
2 -0.772057 0.685349 0.297815 
3 -2.09412 0.193418 -3.06083 
4 -2.1623 0.445068 -2.31708 
5 0.574118 1.91772 1.00398 
6 -0.0786649 -0.921147 -0.105764 
7 -0.116317 -1.42216 1.67202 
8 -0.776302 0.257532 -0.903583 
9 0.0990052 0.598468 0.318278 
10 1.21644 1.39655 -1.55442 
11 -0.535471 -0.055926 -0.660653 
12 0.910162 -1.92917 0.378583 
13 -0.267028 -1.03379 -0.0523875 
14 -0.222343 0.298268 -0.51451 
15 -0.775152 -1.09584 0.79576 
16 1.12928 -0.747957 -0.217808 
17 1.35418 0.147407 -0.631091 
18 -1.11192 0.404386 -0.946238 
19 -1.53753 2.80054 0.447835 
20 1.28082 0.49616 -1.39437 
21 0.279492 0.535146 0.387104 
22 1.5293 1.85053 0.885071 
23 -0.771328 0.515501 -2.12592 
24 -1.52811 0.580592 1.19255 
25 1.21646 -0.7762 -0.165665 
26 -1.38095 -0.884444 0.624561 
27 -0.640604 1.97074 0.982874 
28 2.19547 -3.50288 -0.889413 
29 0.918049 -0.669694 -0.233453 
30 -0.24741 0.292286 1.3892 
31 0.376059 1.31339 1.31652 
32 0.0496735 -0.55358 1.28308 
33 1.1974 0.938539 -1.22392 
34 -0.118246 0.413194 -0.114306 
35 0.0491349 -0.916009 0.65438 
36 -0.649811 -0.652168 -2.89417 
37 0.101934 -0.509005 0.642328 
38 -1.51844 -0.978758 -1.30623 
39 -0.440997 0.316809 0.588867 
40 -1.42602 -0.577997 0.0441336 
41 1.18954 0.314446 1.83195 
42 -0.70106 0.850644 0.628701 
43 0.568026 0.800238 0.524249 
44 -1.95392 -2.16885 0.413334 
45 -0.613392 -0.837023 0.746982 
46 1.1092 1.95206 0.730717 
47 0.56201 -0.0476975 -2.58873 
48 -0.750602 -0.810772 0.758875 
49 1.77234 0.63496 1.85211 
50 1.19066 1.33896 0.0590707 
51 -2.04853 -0.50217 0.107713 
52 1.35177 0.204389 -0.443265 
53 -1.60684 1.76789 -1.85413 
54 -0.946737 2.58275 0.433276 
55 1.02782 -0.131916 1.51636 
56 1.13887 1.72889 -0.71065 
57 -0.0920963 -0.310327 -1.08295 
58 -0.0253724 0.200293 -1.45587 
59 0.650596 0.3854 -0.286337 
60 -0.768557 0.558753 0.517948 
61 -0.871069 0.771124 -1.85378 
62 -0.962525 0.413071 -1.67532 
63 0.553865 -1.09891 -0.674923 
64 -0.271078 1.1675 -1.84429 
65 0.78471 1.53456 -1.90375 
66 -0.326537 -1.92448 0.208177 
67 1.69933 -0.491577 -0.220999 
68 0.186089 -0.541092 0.568985 
69 -0.219279 -0.356796 -0.694399 
70 -0.450403 0.207873 0.600528 
71 -1.04505 -0.817425 0.869983 
72 -1.63857 -0.0612371 -1.51747 
73 1.64482 0.433491 0.328292 
74 1.20767 0.0281176 -0.356194 
75 -1.09965 1.83852 0.109456 
76 -1.94221 0.562213 -0.23525 
77 -0.636146 -0.511023 -0.850799 
78 0.276945 -0.764289 -1.63368 
79 1.53227 1.40416 0.320174 
80 0.166678 0.0966972 -0.42604 
81 -2.40337 -0.528321 -0.844903 
82 2.13758 0.482497 -0.628769 
83 -0.216118 -1.99024 -1.2329 
84 -0.783005 -0.333678 -0.165669 
85 1.0861 -1.67114 0.00650969 
86 0.175243 -1.3966 1.33215 
87 -0.514289 1.10708 -0.651661 
88 1.14522 0.918876 -0.00888724 
89 -0.61856 0.370884 -0.826794 
90 1.18382 -0.0123528 0.103915 
91 -0.782184 -1.6653 -0.295885 
92 1.49378 0.332694 1.46765 
93 -1.18574 -0.748923 1.87074 
94 -0.231638 -0.253109 -0.0845383 
95 -0.307158 1.60962 -2.30244 
96 -0.269484 -0.466947 0.670275 
97 0.180852 -0.0640282 -0.613359 
98 -0.710841 0.126245 -1.37803 
99 -1.40693 1.8573 0.440187 
100 0.740655 -0.161174 2.82878 
101 -0.0626935 0.940171 0.246616 
102 -0.0936391 -0.130012 -1.30902 
103 -0.535863 0.213049 -0.741566 
104 0.175456 -1.25322 -0.301334 
105 0.807181 1.494 0.694148 
106 -0.926016 -0.926449 -0.628045 
107 -0.769559 1.13115 1.05761 
108 -1.21246 -0.0228961 -0.344942 
109 -0.436243 0.401967 -0.881239 
110 -0.310671 1.49731 2.71307 
111 -0.285278 1.13857 0.541715 
112 1.27176 1.28166 -0.20067 
113 -1.52887 0.667083 1.59543 
114 -0.892732 1.73654 -0.478517 
115 -0.150354 0.546342 2.14413 
116 0.883691 -0.327193 0.496575 
117 -0.453036 1.39181 0.33146 
118 -0.51021 -1.67162 -1.4755 
119 1.49826 0.421223 0.22022 
120 -0.655679 -1.52004 -1.13965 
121 0.687926 -0.0291327 1.0673 
122 -2.00781 1.37146 1.09862 
123 -0.0392736 -0.738379 0.463055 
124 0.13747 0.756194 0.113989 
125 1.44984 -0.480917 -0.821875 
126 -0.795586 -2.42869 -0.290604 
127 0.788178 0.909517 0.0583013 
128 0.428228 0.354336 -0.431565 
129 0.452635 -0.612557 -0.775879 
130 0.780869 -0.369321 -0.573921 
131 -0.483257 0.176011 0.362648 
132 1.48676 0.192062 -0.0861427 
133 0.0226927 -1.70974 2.20903 
134 -1.4477 0.188418 0.339859 
135 1.04366 -0.672604 -1.19832 
136 -1.15949 -1.03639 0.112362 
137 -1.25669 -0.969501 1.55907 
138 -0.367866 -0.274503 -0.578575 
139 -0.492282 -0.0821022 -0.399289 
140 0.750738 -0.497314 2.39419 
141 -0.204022 0.85945 0.834637 
142 -1.00008 -1.09394 -1.93016 
143 -0.163058 -1.81975 1.64903 
144 -0.968781 0.139088 0.576804 
145 0.464034 -0.857436 1.43659 
146 -0.159155 -1.02404 0.546588 
147 -1.33462 -0.334519 -1.14017 
148 0.741127 -0.212162 -0.430848 
149 0.0333921 1.06726 -0.173894 
150 -1.34222 -0.61786 0.341766 
151 -0.450718 -0.186473 -0.774201 
152 -1.73942 0.279001 0.708924 
153 2.16945 -1.89987 0.207444 
154 -0.451719 -0.707736 -0.445397 
155 -0.282972 -0.886132 0.515029 
156 -0.731621 0.516167 -2.11905 
157 -0.500407 -1.34298 -1.04992 
158 0.328928 1.57536 2.35175 
159 -0.593499 -2.50766 1.82504 
160 0.494081 -1.06232 0.217525 
161 2.08465 -1.56412 -0.0859559 
162 -0.0746257 -1.09366 0.628309 
163 -0.407257 -1.6348 -0.942001 
164 -1.62597 1.14911 1.22338 
165 1.66014 0.368243 -0.501333 
166 1.87838 -1.72923 3.11431 
167 0.411472 -0.71782 -0.262834 
168 0.0792281 2.03825 0.895244 
169 0.615265 -2.60774 -0.303684 
170 -0.372973 -0.28484 0.639592 
171 0.196589 -1.16929 1.47421 
172 1.14415 1.25697 1.26678 
173 0.205173 0.0940034 0.979094 
174 -1.11763 -1.75321 -0.15767 
175 0.647502 1.18566 0.623513 
176 -2.27931 0.764359 0.964775 
177 -0.500423 0.0253276 0.404625 
178 -1.68359 -0.525287 0.00560049 
179 -1.2889 -1.38337 -0.253904 
180 -1.15709 0.0675793 0.0619511 
181 -1.85636 -0.184954 0.250233 
182 1.13724 0.246514 -2.1899 
183 -0.868704 1.06299 2.21783 
184 1.49365 -0.346049 1.79417 
185 1.27379 1.2689 0.981511 
186 1.16828 -1.76895 3.47656 
187 1.06722 -0.094587 -0.810113 
188 0.783324 1.49276 -0.840904 
189 -0.484633 0.24337 0.35828 
190 -0.720276 0.90283 -0.429413 
191 -0.805922 -0.673891 0.109265 
192 2.03399 0.258507 0.0641818 
193 1.18029 2.0596 0.77692 
194 0.878563 -1.0718 0.790634 
195 1.73291 0.254689 0.864684 
196 -0.522747 -1.02468 0.831621 
197 1.05642 1.49776 -0.640381 
198 -0.308546 -0.934863 1.18658 
199 1.6514 -0.928822 2.0671 
200 0.219857 -0.444628 -0.325042 
201 -0.186591 -0.651501 1.608 
202 1.36148 0.290457 0.641862 
203 -1.40972 -0.392734 0.176466 
204 -0.081947 -0.345622 0.141987 
205 0.551619 -0.832614 -1.89814 
206 1.20738 -2.42928 0.451705 
207 -0.0349322 0.00190751 -0.0447839 
208 -0.939364 0.0583942 -0.872708 
209 -1.3068 -1.01827 0.0666704 
210 -0.438872 -1.56401 -0.584152 
211 -0.667883 0.591274 -0.166421 
212 0.828089 -0.422 0.230263 
213 0.811312 0.196133 0.0026048 
214 -0.377166 1.06497 1.36869 
215 1.94457 3.45549 0.257674 
216 -0.477813 0.968966 -1.71809 
217 -0.71059 0.61508 0.938699 
218 1.08226 -0.0560396 0.832725 
219 -0.138359 -3.21191 0.536608 
220 -0.414132 -0.254801 -0.0561011 
221 0.377869 -2.04109 0.624966 
222 -0.930154 1.40205 1.65764 
223 -1.08662 -0.768645 0.983862 
224 1.35212 -0.63957 0.0566087 
225 0.656155 -0.528207 0.696529 
226 -0.1944 -0.312037 -0.502259 
227 0.352643 -1.50947 -0.596672 
228 -0.37622 1.23029 1.60256 
229 0.883451 0.677715 0.704326 
230 1.92549 0.812596 -0.828182 
231 0.156761 0.180478 0.737404 
232 -1.39253 -0.310208 -1.10966 
233 0.860473 -1.48173 -1.3138 
234 -0.717095 0.500701 0.867651 
235 -0.148031 1.21425 1.57745 
236 -1.10204 -1.69703 0.441161 
237 1.70319 -0.350988 -0.835068 
238 -0.181653 -0.0348916 0.0190707 
239 -1.45807 0.148394 -1.98989 
240 -0.800394 -0.240538 2.34852 
241 1.00504 0.60597 0.483615 
242 0.718167 0.00125175 1.22339 
243 1.04432 1.03928 -1.24174 
244 1.70641 -1.61125 0.43455 
245 -0.482848 0.144812 -1.97681 
246 0.28413 -2.25009 -0.933828 
247 0.224051 -0.961515 -1.13247 
248 -1.77118 2.21232 -2.73511 
249 -3.08984 0.654964 -1.29307 
250 -1.19376 0.938962 -1.79212 
251 0.350633 0.213449 -0.327938 
252 0.167029 0.867739 -1.50348 
253 0.78696 -1.60277 1.19401 
254 -1.4031 -0.324334 -1.09755 
255 -1.36163 0.524685 -1.06491 
256 -0.94821 -1.22983 -0.0678906 
257 -0.169342 -0.605582 -1.35408 
258 -1.01401 -2.08602 -0.442621 
259 1.02946 0.00138379 2.38046 
260 -2.06552 1.63305 0.68938 
261 -0.434809 -0.0403842 0.492868 
262 -1.07762 -1.16027 -0.828069 
263 -0.0164554 -1.27332 -0.316883 
264 0.423348 1.03681 -0.185738 
265 0.435863 -1.27738 0.555631 
266 -0.615342 -0.0878457 -0.289669 
267 -1.29143 0.272399 -0.503415 
268 1.55043 -1.5249 1.69652 
269 -1.01355 -1.523 -1.32235 
270 1.19497 0.380855 -0.886734 
271 1.77647 -0.52897 -0.750985 
272 -0.787462 -0.802998 1.01053 
273 -0.184625 1.38276 -0.271707 
274 -1.3777 1.13261 -1.8189 
275 1.05167 -0.38396 -1.15927 
276 -1.08795 0.591548 0.822759 
277 -1.56345 -1.24446 -0.656435 
278 1.34857 -0.879675 2.92459 
279 -1.58862 -0.61444 0.0208316 
280 -1.08241 1.05185 1.61383 
281 0.879472 -0.540184 -1.78043 
282 -0.72688 -1.14592 0.701546 
283 0.11713 1.6787 -1.12515 
284 1.66181 2.02046 0.230609 
285 0.602455 1.67892 -2.10546 
286 -0.272177 2.02353 1.1355 
287 0.86611 0.169184 -2.50878 
