#	VACF	MSD
    3.7854         0
    3.7730    0.0001
    ??????    0.0004
    3.6426    0.0009
    3.5288    0.0015
    3.3875    0.0023
    3.2234    0.0033
    3.0413    0.0045
    2.8459    0.0058
    2.6410    0.0073
    2.4303    0.0089
    2.2171    0.0107
    2.0042    0.0125
    1.7943    0.0145
    1.5895    0.0165
    1.3918    0.0187
    1.2028    0.0209
    1.0239    0.0232
    0.8561    0.0256
    0.7000    0.0279
    0.5560    0.0304
    0.4246    0.0328
    0.3060    0.0353
    0.2003    0.0378
    0.1068    0.0403
    0.0249    0.0428
   -0.0464    0.0453
   -0.1078    0.0478
   -0.1599    0.0503
   -0.2035    0.0528
   -0.2389    0.0553
   -0.2664    0.0577
   -0.2866    0.0602
   -0.2999    0.0626
   -0.3073    0.0650
   -0.3095    0.0674
   -0.3075    0.0698
   -0.3019    0.0722
   -0.2937    0.0746
   -0.2835    0.0769
   -0.2721    0.0793
   -0.2604    0.0816
   -0.2488    0.0839
   -0.2376    0.0862
   -0.2267    0.0884
   -0.2161    0.0907
   -0.2058    0.0929
   -0.1958    0.0951
   -0.1861    0.0974
   -0.1769    0.0996
   -0.1683    0.1017
   -0.1604    0.1039
   -0.1533    0.1061
   -0.1469    0.1082
   -0.1412    0.1104
   -0.1362    0.1126
   -0.1319    0.1147
   -0.1284    0.1169
   -0.1257    0.1190
   -0.1238    0.1212
   -0.1226    0.1233
   -0.1224    0.1255
   -0.1231    0.1276
   -0.1250    0.1297
   -0.1279    0.1319
   -0.1313    0.1340
   -0.1348    0.1362
   -0.1379    0.1383
   -0.1398    0.1404
   -0.1401    0.1426
   -0.1386    0.1448
   -0.1353    0.1469
   -0.1306    0.1491
   -0.1249    0.1513
   -0.1185    0.1535
   -0.1114    0.1557
   -0.1034    0.1579
   -0.0944    0.1601
   -0.0843    0.1623
   -0.0735    0.1645
   -0.0623    0.1667
   -0.0511    0.1689
   -0.0403    0.1711
   -0.0301    0.1733
   -0.0208    0.1754
   -0.0122    0.1776
   -0.0042    0.1798
    0.0034    0.1819
    0.0107    0.1841
    0.0175    0.1863
    0.0237    0.1884
    0.0290    0.1906
    0.0333    0.1928
    0.0366    0.1950
    0.0392    0.1973
    0.0413    0.1995
    0.0432    0.2018
    0.0451    0.2040
    0.0468    0.2063
    0.0480    0.2085
    0.0484    0.2107
    0.0480    0.2130
    0.0468    0.2152
    0.0452    0.2174
    0.0435    0.2196
    0.0420    0.2218
    0.0410    0.2241
    0.0408    0.2263
    0.0413    0.2285
    0.0422    0.2308
    0.0434    0.2331
    0.0446    0.2354
    0.0461    0.2377
    0.0478    0.2400
    0.0500    0.2423
    0.0524    0.2446
    0.0553    0.2469
    0.0590    0.2492
    0.0635    0.2515
    0.0689    0.2538
    0.0752    0.2561
    0.0823    0.2583
    0.0901    0.2606
    0.0986    0.2628
    0.1076    0.2650
    0.1169    0.2672
    0.1264    0.2694
    0.1355    0.2716
    0.1436    0.2737
    0.1503    0.2758
    0.1550    0.2779
    0.1574    0.2800
    0.1572    0.2821
    0.1544    0.2842
    0.1493    0.2862
    0.1422    0.2882
    0.1336    0.2902
    0.1240    0.2922
    0.1137    0.2942
    0.1030    0.2962
    0.0918    0.2982
    0.0802    0.3002
    0.0678    0.3022
    0.0547    0.3043
    0.0408    0.3063
    0.0262    0.3083
    0.0111    0.3104
   -0.0040    0.3125
   -0.0186    0.3146
   -0.0321    0.3167
   -0.0437    0.3189
   -0.0530    0.3211
   -0.0596    0.3233
   -0.0632    0.3256
   -0.0638    0.3278
   -0.0614    0.3301
   -0.0565    0.3324
   -0.0496    0.3347
   -0.0415    0.3370
   -0.0332    0.3393
   -0.0254    0.3417
   -0.0185    0.3440
   -0.0130    0.3463
   -0.0088    0.3486
   -0.0058    0.3510
   -0.0037    0.3533
   -0.0023    0.3556
   -0.0015    0.3578
   -0.0012    0.3601
   -0.0013    0.3624
   -0.0016    0.3646
   -0.0019    0.3668
   -0.0020    0.3690
   -0.0018    0.3712
   -0.0012    0.3734
   -0.0002    0.3756
    0.0011    0.3777
    0.0024    0.3799
    0.0036    0.3821
    0.0046    0.3842
    0.0055    0.3864
    0.0064    0.3886
    0.0075    0.3907
    0.0093    0.3928
    0.0122    0.3950
    0.0164    0.3971
    0.0223    0.3992
    0.0298    0.4013
    0.0387    0.4034
    0.0485    0.4055
    0.0589    0.4076
    0.0694    0.4098
    0.0797    0.4120
    0.0894    0.4142
    0.0983    0.4164
    0.1062    0.4187
    0.1128    0.4210
    0.1178    0.4233
    0.1211    0.4257
    0.1228    0.4281
    0.1233    0.4305
    0.1230    0.4329
    0.1226    0.4353
    0.1222    0.4378
    0.1220    0.4402
    0.1222    0.4427
    0.1225    0.4451
    0.1228    0.4475
    0.1227    0.4500
    0.1218    0.4524
    0.1197    0.4547
    0.1161    0.4570
    0.1109    0.4593
    0.1043    0.4616
    0.0966    0.4638
    0.0880    0.4660
    0.0787    0.4682
    0.0690    0.4703
    0.0589    0.4724
    0.0489    0.4745
    0.0391    0.4766
    0.0299    0.4786
